City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
360,Klitos,GR,40.4333,21.8667,81.32,26,0,3.44,clear sky
361,Tahe,CN,52.3333,124.7333,51.21,88,97,2.3,overcast clouds
362,Qiongshan,CN,20.0058,110.3542,78.78,94,0,2.24,clear sky
363,Kota Bahru,MY,6.1333,102.2386,76.95,94,20,0.0,few clouds
364,Olinda,BR,-8.0089,-34.8553,82.13,61,40,14.97,scattered clouds
365,Vilyuysk,RU,63.7553,121.6247,50.95,97,100,2.68,light rain
366,Nishihara,JP,26.1842,127.7558,84.25,81,20,17.27,few clouds
367,Belyy Yar,RU,53.6039,91.3903,47.86,75,0,0.0,clear sky
368,Oistins,BB,13.0667,-59.5333,87.89,66,40,14.97,scattered clouds
369,Half Moon Bay,US,37.4636,-122.4286,84.88,73,40,6.91,scattered clouds
370,Tonj,SS,7.2737,28.6822,71.82,96,48,4.65,moderate rain
371,Hamilton,US,39.1834,-84.5333,84.74,51,40,4.61,scattered clouds
372,Karpathos,GR,35.507,27.2132,78.76,78,20,23.02,few clouds
373,Chuy,UY,-33.6971,-53.4616,51.58,53,29,16.82,scattered clouds
374,Finschhafen,PG,-6.6024,147.8681,77.63,84,72,5.44,broken clouds
375,Price,US,39.5994,-110.8107,85.12,32,0,3.44,clear sky
376,Mehamn,NO,71.0357,27.8492,49.91,73,32,5.57,scattered clouds
377,Saint-Leu,RE,-21.15,55.2833,68.83,71,6,1.92,clear sky
378,Beringovskiy,RU,63.05,179.3167,46.42,69,77,17.47,broken clouds
379,Flin Flon,CA,54.7682,-101.865,76.84,57,40,5.75,smoke
380,Manaure,CO,11.7751,-72.4445,91.44,44,0,19.6,clear sky
381,Caxito,AO,-8.5785,13.6643,71.42,75,8,7.67,clear sky
382,Nyurba,RU,63.2842,118.3319,47.37,98,38,2.86,scattered clouds
383,Nosy Varika,MG,-20.5833,48.5333,68.59,87,0,10.51,clear sky
384,Carbonear,CA,47.7332,-53.2148,63.63,97,100,11.43,light rain
385,Vestmanna,FO,62.1564,-7.1664,50.92,93,100,16.11,overcast clouds
386,Houma,US,29.5958,-90.7195,90.0,78,40,9.22,scattered clouds
387,Aripuana,BR,-9.1667,-60.6333,97.41,30,26,2.48,scattered clouds
388,Roma,US,43.2128,-75.4557,80.73,71,0,11.5,clear sky
389,Yerbogachen,RU,61.2767,108.0108,48.0,99,100,2.71,overcast clouds
390,Khandyga,RU,62.6667,135.6,51.58,96,100,4.23,overcast clouds
391,Huarmey,PE,-10.0681,-78.1522,67.37,68,95,11.25,overcast clouds
392,Mirador,BR,-6.3708,-44.3631,97.65,25,1,6.11,clear sky
393,Darnah,LY,32.767,22.6367,81.19,76,0,15.08,clear sky
394,Abalak,RU,58.1286,68.5944,47.46,86,96,5.55,overcast clouds
